Case5;Case6;Case7;Case8;Case9;Case10;Triple
1.0;1.0;1.0;1.0;1.0;1.0; boys dragged fighting
0.0;0.0;1.0;0.0;0.0;0.0; brains removed dish
1.0;1.0;1.0;1.0;1.0;1.0; breakdown caused war
0.0;0.0;1.0;1.0;1.0;0.0; bureau established committee
1.0;1.0;1.0;1.0;1.0;1.0; burns caused liquids
0.0;0.0;1.0;0.0;0.0;0.0; busloads ran contention
0.0;0.0;1.0;0.0;0.0;0.0; cabinet encloses woofer
0.0;0.0;1.0;0.0;0.0;0.0; cache stolen goods
0.0;1.0;1.0;1.0;0.0;1.0; candidate approved program
0.0;0.0;1.0;0.0;0.0;0.0; candidate graduated program
0.0;0.0;1.0;1.0;1.0;0.0; car achieved engine
1.0;1.0;1.0;1.0;1.0;1.0; car using engine
0.0;1.0;1.0;1.0;0.0;1.0; caterpillars caused disease
0.0;0.0;0.0;1.0;0.0;0.0; catheter inserted artery
0.0;0.0;1.0;0.0;0.0;0.0; cells migrated tissues
0.0;0.0;1.0;0.0;0.0;0.0; cerebrum made hemispheres
0.0;1.0;1.0;1.0;0.0;0.0; certificate awarded product
0.0;0.0;0.0;1.0;0.0;0.0; chabazite contained multiple U-tube
0.0;1.0;1.0;1.0;0.0;1.0; chapter relates attempts
0.0;0.0;1.0;1.0;0.0;0.0; character devised producers
0.0;1.0;1.0;1.0;1.0;1.0; chart produced study
1.0;1.0;1.0;1.0;1.0;1.0; chemical produced gland
0.0;0.0;1.0;0.0;0.0;0.0; child killed nail
0.0;0.0;1.0;1.0;1.0;0.0; children participated competition
0.0;0.0;1.0;0.0;0.0;0.0; chunks fell airplane
1.0;1.0;1.0;1.0;1.0;1.0; circuit comprises converter
0.0;1.0;0.0;1.0;0.0;0.0; citizen landed battles
0.0;0.0;1.0;0.0;0.0;0.0; city constructed station
0.0;0.0;1.0;0.0;0.0;0.0; claim issued quarters
1.0;1.0;1.0;1.0;1.0;1.0; clashes including deaths
1.0;1.0;1.0;1.0;1.0;1.0; clashes resulted deaths
0.0;0.0;0.0;1.0;0.0;0.0; class examine therapeutic benefits
0.0;1.0;1.0;1.0;0.0;0.0; clauses invented framers
0.0;1.0;1.0;1.0;0.0;0.0; closure caused backup
1.0;1.0;1.0;1.0;1.0;1.0; clot caused seizure
1.0;1.0;1.0;1.0;1.0;1.0; clubs falling ownership
0.0;0.0;1.0;0.0;0.0;0.0; clustering resulted clusters
1.0;1.0;1.0;1.0;1.0;1.0; coalition established activities
1.0;0.0;1.0;1.0;1.0;0.0; cocaine constricted pressure
1.0;1.0;1.0;1.0;1.0;1.0; cocaine increased pressure
1.0;1.0;1.0;1.0;0.0;1.0; colors caused dispersion
0.0;1.0;1.0;1.0;0.0;1.0; comment made developer
0.0;1.0;1.0;1.0;0.0;1.0; comments provided readers
0.0;0.0;1.0;1.0;0.0;0.0; commissioner assisted officers
0.0;0.0;1.0;1.0;0.0;0.0; committee assists commission
0.0;0.0;1.0;1.0;1.0;1.0; committee composed people
0.0;0.0;1.0;1.0;0.0;1.0; committee made recommendations
0.0;0.0;1.0;1.0;0.0;0.0; committee secured creditors
1.0;1.0;1.0;1.0;1.0;1.0; community eluded positions
0.0;0.0;1.0;1.0;0.0;0.0; company addressed publication
0.0;0.0;1.0;1.0;0.0;0.0; company assembled portfolio
0.0;0.0;1.0;1.0;0.0;0.0; company determine benchmarking
1.0;0.0;1.0;1.0;1.0;0.0; company eluded obligations
0.0;1.0;1.0;1.0;0.0;1.0; company entered research
0.0;0.0;1.0;1.0;0.0;0.0; company established fireman
1.0;1.0;1.0;1.0;1.0;1.0; company landed trouble
0.0;1.0;1.0;1.0;0.0;0.0; company migrating segments
1.0;0.0;1.0;1.0;0.0;0.0; company mocked version
0.0;0.0;1.0;1.0;0.0;0.0; company using benchmarking
1.0;1.0;1.0;1.0;1.0;1.0; compilation governed considerations
0.0;1.0;1.0;1.0;0.0;1.0; complex treated poison
1.0;1.0;1.0;1.0;1.0;1.0; complication arose irradiation
1.0;1.0;1.0;1.0;1.0;1.0; complications resulted deaths
0.0;0.0;0.0;1.0;0.0;1.0; computer company running problems
0.0;1.0;1.0;1.0;0.0;1.0; conditions spreading areas
0.0;0.0;1.0;1.0;0.0;0.0; conference organised roundtables
1.0;1.0;1.0;1.0;0.0;1.0; conference started debate
1.0;1.0;1.0;1.0;1.0;1.0; conflict caused wastewater
1.0;1.0;1.0;1.0;1.0;1.0; congestion caused delays
0.0;0.0;1.0;1.0;0.0;0.0; constitution prepared leaders
1.0;0.0;1.0;1.0;1.0;0.0; containers fell dam
1.0;1.0;1.0;1.0;1.0;1.0; contamination caused residues
0.0;0.0;0.0;1.0;0.0;0.0; contestant gave answer
0.0;0.0;1.0;1.0;0.0;0.0; contractions caused prostaglandins
0.0;0.0;1.0;0.0;0.0;0.0; contractors using entrance
1.0;1.0;1.0;1.0;1.0;1.0; controversy arose assignment
0.0;1.0;1.0;1.0;0.0;1.0; controversy centered intelligence
0.0;0.0;1.0;1.0;0.0;0.0; convention declare ownership
0.0;0.0;1.0;0.0;0.0;0.0; convict protects claim
0.0;1.0;1.0;1.0;1.0;1.0; cook stirs coals
0.0;0.0;1.0;0.0;0.0;0.0; coolant contained bottle
0.0;0.0;0.0;1.0;0.0;0.0; cooper makes barrels
1.0;1.0;1.0;1.0;1.0;0.0; corruption triggered utilities
0.0;0.0;1.0;1.0;0.0;0.0; coterie contributing editors
0.0;0.0;1.0;0.0;0.0;0.0; countries related history
0.0;0.0;0.0;0.0;1.0;0.0; couple piled waters
0.0;1.0;1.0;1.0;0.0;0.0; court achieved rule
0.0;1.0;1.0;1.0;0.0;1.0; court using rule
0.0;0.0;1.0;0.0;0.0;0.0; cow produced milk
1.0;1.0;1.0;1.0;1.0;1.0; cow touched nuzzle
0.0;0.0;0.0;1.0;0.0;0.0; craftsperson creates representation
1.0;1.0;1.0;1.0;1.0;1.0; crash caused attack
1.0;1.0;1.0;1.0;1.0;1.0; crash caused meteor
0.0;0.0;0.0;1.0;0.0;1.0; creator played game
1.0;1.0;1.0;1.0;1.0;1.0; creatures caused scare
0.0;1.0;1.0;1.0;1.0;0.0; crimes investigated show
0.0;0.0;1.0;1.0;0.0;0.0; criminal got jail
1.0;1.0;1.0;1.0;1.0;1.0; crisis caused blockade
1.0;1.0;1.0;1.0;1.0;1.0; crisis caused cost
1.0;1.0;1.0;1.0;1.0;1.0; crisis caused jobless rate
1.0;1.0;1.0;1.0;1.0;1.0; crisis escalating cost
1.0;1.0;1.0;1.0;1.0;1.0; crisis originated sector
1.0;1.0;1.0;1.0;1.0;1.0; crisis spreading economy
1.0;1.0;1.0;1.0;1.0;1.0; criticism commented weaknesses
1.0;1.0;1.0;1.0;1.0;1.0; cross removed site
0.0;1.0;0.0;1.0;0.0;1.0; cushion stuffed feathers
1.0;1.0;1.0;1.0;1.0;1.0; damage caused aircraft
1.0;1.0;1.0;1.0;1.0;1.0; damage caused bombing
0.0;0.0;1.0;1.0;0.0;1.0; damage caused bullet
1.0;1.0;1.0;1.0;1.0;1.0; damage caused collision
1.0;1.0;1.0;1.0;1.0;1.0; damage caused earthquake
1.0;1.0;1.0;1.0;1.0;1.0; damage caused earthquakes
0.0;1.0;1.0;1.0;0.0;1.0; damage caused hallucinogens
1.0;1.0;1.0;1.0;1.0;1.0; damage caused industry
1.0;1.0;1.0;1.0;1.0;1.0; damage caused misuse
1.0;1.0;1.0;1.0;1.0;1.0; damage caused reconstruction
1.0;1.0;1.0;1.0;1.0;1.0; damage caused tornado
1.0;1.0;1.0;1.0;1.0;1.0; damage caused virus
1.0;1.0;1.0;1.0;1.0;1.0; data derived study
0.0;0.0;1.0;1.0;0.0;1.0; dataset extracted documents
0.0;0.0;0.0;0.0;0.0;1.0; daughter fell coma
1.0;1.0;1.0;1.0;1.0;1.0; day thrown chaos
1.0;1.0;1.0;1.0;1.0;1.0; death caused cancellation
1.0;1.0;1.0;1.0;1.0;1.0; death caused tsunami
1.0;1.0;1.0;1.0;1.0;1.0; debris caused fire
0.0;1.0;1.0;1.0;1.0;1.0; declaration tackle climate change
1.0;1.0;1.0;1.0;1.0;1.0; decline caused collapse
0.0;1.0;0.0;0.0;0.0;0.0; defendant released custody
0.0;1.0;1.0;1.0;0.0;0.0; definition existing standards
0.0;1.0;1.0;1.0;1.0;1.0; definition made standards
1.0;1.0;1.0;1.0;1.0;1.0; deformation caused filling
1.0;1.0;1.0;1.0;1.0;1.0; delays caused governments
1.0;1.0;1.0;1.0;1.0;1.0; deleveraging triggered crisis
0.0;0.0;1.0;0.0;0.0;0.0; deposits put account
0.0;0.0;1.0;1.0;0.0;0.0; design driven studio
1.0;1.0;1.0;1.0;1.0;0.0; design evolved work
1.0;1.0;1.0;1.0;1.0;1.0; destruction caused war
0.0;1.0;1.0;1.0;1.0;0.0; details revealed interview
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused earthquake
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused fire
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused flooding
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused tsunami
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused waste
1.0;1.0;1.0;1.0;1.0;1.0; devastation caused waves
1.0;1.0;1.0;1.0;1.0;1.0; devastation includes waste
0.0;0.0;1.0;1.0;0.0;1.0; device inserted port
0.0;0.0;1.0;1.0;1.0;1.0; dialogue covered economic impact
0.0;0.0;0.0;1.0;0.0;0.0; dips caused y-rays
1.0;1.0;1.0;1.0;0.0;1.0; dirt cause acne
1.0;1.0;1.0;1.0;1.0;1.0; disaster caused hurricane
0.0;1.0;1.0;1.0;1.0;1.0; discussion focusing violence
1.0;1.0;1.0;1.0;1.0;1.0; discussion made concept
0.0;1.0;1.0;1.0;1.0;1.0; discussion presented appendix
1.0;1.0;1.0;1.0;1.0;1.0; diseases caused gene mutations
1.0;1.0;1.0;1.0;1.0;1.0; disorders caused drinking
1.0;1.0;1.0;1.0;1.0;1.0; disorders caused mutation
0.0;0.0;1.0;0.0;0.0;0.0; display receives cable
0.0;1.0;1.0;1.0;0.0;0.0; display showing status
0.0;0.0;1.0;0.0;0.0;0.0; disposes designated area
1.0;1.0;1.0;1.0;1.0;1.0; dispute concerning interpretation
1.0;1.0;1.0;1.0;1.0;1.0; distraction caused incident
1.0;1.0;1.0;1.0;1.0;1.0; distraction coupled incident
1.0;1.0;1.0;1.0;1.0;1.0; disturbances build erosion
1.0;1.0;1.0;1.0;1.0;1.0; disturbances lead erosion
1.0;1.0;1.0;1.0;1.0;0.0; disturbances required erosion
1.0;1.0;1.0;1.0;1.0;1.0; dizziness caused injury
0.0;0.0;1.0;1.0;0.0;1.0; doctor tells sphygmomanometer
0.0;0.0;1.0;1.0;0.0;0.0; doctor using sphygmomanometer
1.0;1.0;1.0;1.0;1.0;1.0; document established levels
1.0;1.0;1.0;1.0;1.0;0.0; document sets facts
0.0;1.0;1.0;1.0;1.0;1.0; documents discussed meeting
1.0;1.0;1.0;1.0;1.0;1.0; documents troubling strategies
0.0;1.0;1.0;1.0;0.0;0.0; dollars put economy
1.0;1.0;1.0;1.0;1.0;1.0; dopamine causes depression
1.0;1.0;1.0;1.0;1.0;1.0; downturn made people
1.0;1.0;1.0;1.0;1.0;1.0; drag caused atmosphere
1.0;1.0;1.0;1.0;1.0;0.0; drilling threatens chemicals
1.0;1.0;1.0;1.0;1.0;1.0; drop caused recession
0.0;0.0;1.0;0.0;0.0;0.0; drug leaves brain
0.0;0.0;1.0;1.0;0.0;0.0; drug put tubes
1.0;1.0;1.0;1.0;1.0;1.0; dust collected caisson
1.0;1.0;1.0;1.0;1.0;1.0; dust produces irritation
0.0;1.0;1.0;1.0;1.0;0.0; dust set alarm
1.0;1.0;1.0;1.0;1.0;1.0; effect achieved way
1.0;1.0;1.0;1.0;1.0;1.0; effect lighting light
1.0;1.0;1.0;1.0;0.0;0.0; effort gone development
1.0;1.0;1.0;1.0;1.0;1.0; efforts invested objective
1.0;0.0;1.0;1.0;1.0;1.0; election caused appointment
1.0;1.0;1.0;1.0;1.0;1.0; electrical short caused fire
1.0;1.0;1.0;1.0;1.0;0.0; electricity produced biomass
0.0;0.0;0.0;1.0;0.0;0.0; electronic engineer migrated embedded software
1.0;1.0;1.0;1.0;1.0;1.0; energy caused posters
1.0;1.0;1.0;1.0;1.0;1.0; energy going source
0.0;0.0;0.0;1.0;0.0;0.0; engineer designed machine
0.0;0.0;1.0;1.0;1.0;0.0; engineer worked machine
0.0;0.0;1.0;1.0;0.0;0.0; engineers devised method
0.0;0.0;1.0;0.0;0.0;0.0; entrance shows building
1.0;1.0;1.0;1.0;1.0;1.0; entrapments resulted suffocation
1.0;1.0;1.0;1.0;1.0;1.0; error caused tags
0.0;0.0;0.0;1.0;0.0;0.0; evening centered courage
1.0;1.0;1.0;1.0;1.0;1.0; events caused dissolution
1.0;1.0;1.0;1.0;1.0;1.0; evidence arose results
1.0;1.0;1.0;1.0;1.0;1.0; evidence came study
0.0;0.0;1.0;0.0;0.0;0.0; examination started head
1.0;1.0;1.0;1.0;1.0;1.0; excerpt revolved theme
0.0;0.0;1.0;0.0;0.0;0.0; exhibition displayed view
0.0;0.0;0.0;1.0;0.0;0.0; exhibition examines contacts
1.0;0.0;1.0;1.0;1.0;1.0; exhibition sustained contacts
0.0;1.0;1.0;1.0;0.0;1.0; existence revealed speech
1.0;1.0;1.0;1.0;1.0;1.0; expansion resulted movements
1.0;1.0;1.0;1.0;0.0;1.0; experience ensued blend
0.0;0.0;1.0;1.0;0.0;0.0; explanation set appendix
1.0;0.0;1.0;1.0;1.0;0.0; exploration moving waters
1.0;1.0;1.0;1.0;1.0;1.0; explosion caused crater
1.0;1.0;1.0;1.0;1.0;1.0; explosion triggered blast
0.0;0.0;1.0;1.0;0.0;0.0; fable illustrates progress
0.0;0.0;0.0;1.0;0.0;0.0; family constructed features
0.0;1.0;0.0;1.0;0.0;1.0; family supporting features
0.0;0.0;0.0;1.0;0.0;0.0; family went village
0.0;1.0;0.0;1.0;0.0;0.0; father killed bar
1.0;1.0;1.0;1.0;1.0;1.0; fear caused power
1.0;1.0;1.0;1.0;1.0;1.0; fear caused stab
1.0;1.0;1.0;1.0;1.0;1.0; fear suffered stab
1.0;1.0;1.0;1.0;1.0;1.0; fear triggered death
0.0;1.0;1.0;1.0;0.0;1.0; fees became discussion
0.0;1.0;1.0;1.0;0.0;0.0; fees charged discussion
0.0;0.0;1.0;0.0;0.0;0.0; feet sunk floor
0.0;0.0;0.0;1.0;0.0;0.0; fetus derived embryo
0.0;1.0;1.0;1.0;0.0;0.0; figure illustrates results
0.0;0.0;1.0;0.0;0.0;0.0; files linked bust
0.0;0.0;0.0;1.0;0.0;0.0; files reveal plot
0.0;1.0;1.0;1.0;0.0;0.0; film asserts tenacity
0.0;0.0;1.0;1.0;1.0;0.0; film departed fare
0.0;0.0;1.0;1.0;0.0;0.0; film reveals economy
0.0;0.0;0.0;1.0;0.0;0.0; film revolves cadaver
0.0;0.0;1.0;1.0;0.0;0.0; film uses flashbacks
0.0;1.0;1.0;1.0;0.0;0.0; films delivered viewers
0.0;0.0;1.0;1.0;0.0;0.0; films reap filmmakers
0.0;0.0;1.0;0.0;0.0;0.0; finger found can
1.0;1.0;1.0;1.0;1.0;1.0; fire originated area
0.0;0.0;1.0;1.0;0.0;0.0; firefighters described horror
0.0;0.0;1.0;1.0;0.0;0.0; firm co-founded head
0.0;1.0;1.0;1.0;1.0;0.0; firm reeased report
0.0;0.0;1.0;1.0;0.0;0.0; first part gives techniques
0.0;0.0;1.0;0.0;1.0;0.0; fish pushed sea
0.0;0.0;1.0;0.0;0.0;0.0; flakeboard decommissioned guardrail
0.0;0.0;1.0;0.0;0.0;0.0; flakeboard produced guardrail
0.0;0.0;1.0;0.0;0.0;0.0; flights departing airspace
1.0;1.0;1.0;1.0;1.0;1.0; flooding caused clogging
1.0;1.0;1.0;1.0;1.0;1.0; flooding caused cyclone
1.0;1.0;1.0;1.0;1.0;1.0; floods caused rains
1.0;1.0;1.0;1.0;1.0;1.0; flu cause stress
1.0;1.0;1.0;1.0;1.0;1.0; flu include chills
